model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr,clean_sum_mse,observed_mixture_mse,parameters,inference_time_ms,training_date,training_time_s,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path,model_key,notes,architecture,config_name,noise_level,overlap_level,nonstationarity_level,num_components,seed,model_type,enabled_modules,attention_stem,branch_attention,multiscale_branches,feature_fusion,multiple_heads,bilinear_fusion,dilated_temporal_convs,residual_connections,tcn_backbone,frequency_features,module_count,model_group,macro_corr_rank
multiscale_branches,Multiscale Branches,conv1d,shallow,0.2485169994831085,0.7638261500377372,4.142691879951573,0.10557242634741396,0.0338613730512878,5859.0,1.753599999986477,2026-04-20T04:39:10.647747Z,561.925048,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches\final_test_report.json,multiscale_branches,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,39.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.23782610535621643,0.7636496894382079,4.174924987546542,0.12926155984613694,0.025294713855297347,5859.0,3.1576600000000177,2026-05-24T18:52:29.492346Z,564.911788,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf100_s42\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf100_s42\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,40.0
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,conv1d,shallow,0.26213231921195984,0.760144564179432,4.191715089871788,0.11547616080410915,0.03121286227314438,17638.0,6.234919999999899,2026-05-24T17:20:09.710796Z,357.86187,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches_data_availability_tf025_s42\attention_stem_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multiple_head_multiscale_branches_data_availability_tf025_s42\final_test_report.json,attention_stem_multiple_head_multiscale_branches,Local stem plus adaptive branch attention with independent component heads.,conv1d,,,,,,,SNN,"attention_stem, branch_attention, feature_fusion, multiple_heads, multiscale_branches",True,True,True,True,True,False,False,False,False,False,5,SNN,41.0
multiscale_branches,Multiscale Branches,conv1d,shallow,0.2598441231250763,0.7600070324764835,4.271478703986942,0.11715155048519475,0.027433603743000433,5859.0,4.958219999999969,2026-05-24T20:05:01.128536Z,606.506641,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf075_s42\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf075_s42\final_test_report.json,multiscale_branches,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,42.0
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,conv1d,shallow,0.24070016622543336,0.7587463058694959,4.259531808514342,0.10807774104370947,0.03793415149401378,5859.0,4.473500000000108,2026-05-24T19:41:17.343771Z,1179.774093,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches_data_availability_tf100_s42\multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches_data_availability_tf100_s42\final_test_report.json,multiple_head_multiscale_branches,Shared multiscale branches with independent one-channel component heads.,conv1d,,,,,,,SNN,"feature_fusion, multiple_heads, multiscale_branches",False,False,True,True,True,False,False,False,False,False,3,SNN,43.0
multiscale_branches,Multiscale Branches,conv1d,shallow,0.24092302918434144,0.7555616344133261,4.21538645085008,0.11131817857927853,0.03692685457294816,5859.0,3.423500000000068,2026-05-24T20:22:24.679489Z,1040.581746,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf100_s42\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf100_s42\final_test_report.json,multiscale_branches,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,44.0
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,conv1d,shallow,0.26074561595916745,0.7540695525949578,4.197023641167642,0.12440497374428933,0.024353162175199415,5859.0,4.4393600000000255,2026-05-24T19:21:34.747644Z,765.825063,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches_data_availability_tf075_s42\multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches_data_availability_tf075_s42\final_test_report.json,multiple_head_multiscale_branches,Shared multiscale branches with independent one-channel component heads.,conv1d,,,,,,,SNN,"feature_fusion, multiple_heads, multiscale_branches",False,False,True,True,True,False,False,False,False,False,3,SNN,45.0
multiscale_branches,Multiscale Branches,conv1d,shallow,0.2808328306674957,0.7517759723814811,3.8353423111387484,0.11582789762609125,0.02965695915892769,5859.0,3.0849599999998922,2026-05-24T19:48:10.701549Z,187.446532,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf025_s42\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf025_s42\final_test_report.json,multiscale_branches,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,46.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.27212674140930176,0.7448864117062561,3.9929735032346203,0.11408810937581643,0.02967977684329342,5859.0,3.2643800000001555,2026-05-24T18:30:37.806693Z,186.306587,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf025_s42\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf025_s42\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,47.0
multiple_head_multiscale_branches,Multiple-Head Multiscale Branches,conv1d,shallow,0.28635427474975583,0.7340893183430285,3.6521104067918255,0.11467521553293412,0.030573960537894705,5859.0,6.717400000000052,2026-05-24T19:00:31.613566Z,243.399143,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches_data_availability_tf025_s42\multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiple_head_multiscale_branches_data_availability_tf025_s42\final_test_report.json,multiple_head_multiscale_branches,Shared multiscale branches with independent one-channel component heads.,conv1d,,,,,,,SNN,"feature_fusion, multiple_heads, multiscale_branches",False,False,True,True,True,False,False,False,False,False,3,SNN,48.0
