run_id,model,depth_label,status,generation_mode,signal_type,n_components,selected_component_types,noise_level,duration,fs,train_samples,val_samples,test_samples,total_samples,train_fraction
b7adb3fef0e0,multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
74c50eb7780c,multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
8dfe846d969c,multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
0e6800c1061a,multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
e3e8b1db5229,multiscale_dilated,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
854f52e61f11,multiscale_dilated,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
7e9f90dd3a28,multiscale_dilated,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
f0a7c1068cf9,multiscale_dilated,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
395e2cc5e0a7,multiscale_dilated,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
b7b686322bf5,multiscale_dilated,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
50198d248713,rnnbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
3bf19acecb6f,rnnbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
3743ee565035,rnnbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
1e4076f00b54,rnnbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
2738f61e61ad,rnnbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
0a2f087239f8,rnnbased,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
121587c7ae85,sepformer,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
15333a957485,sepformer,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
204e0b9c58d2,sepformer,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
433bfde570c7,sepformer,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
41ac81540412,sepformer,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
6c58d1367bca,sepformer,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
4fa747002a47,conv1dnetwork,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
754f9c70623a,conv1dnetwork,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
e9a8deb7b35a,conv1dnetwork,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
c54d4492405f,conv1dnetwork,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
5d468b392b44,conv1dnetwork,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
7d72a6bedaad,conv1dnetwork,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
981e1a31f5a3,mlp_singlehead,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
4ab0cd4a2f95,mlp_singlehead,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
407996d7f139,mlp_singlehead,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
536e386fcfac,mlp_singlehead,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
caabbc809172,mlp_singlehead,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
ff2bbd5ca729,mlp_singlehead,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
2d2aeab80cb7,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
7b102a1e95fd,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
1ba15bc90623,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
ac4e51283c31,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
1aae4f23cb53,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
deed462829db,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
ab0f8abe4e4a,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
9a3d9f355fcf,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
a5881ac9e492,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
2c0bb9c99671,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
b62898d30dd1,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
371598505280,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
3dfb02beb5b9,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
f76b64fee859,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
c196a4268d79,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
c43347500d0d,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
83444da9ad48,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
2ab9e3576369,tasnet,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
cdb111b22586,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
de9d430ed4da,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
94be86baff16,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
